sentiment,text,probs,ga_sentiment,ga_text,ga_probs,ga_num_changes,ga_lev_ratio,ga_flipped_sentiment,ga_percent_change
0,michael caine usually appears in either very good blame it on rio sleuth without a clue gambit dirty rotten scoundrels or truly bad comedies noises off death becomes her harry  walter go to ny  this falls into the latter category ta is a comedy that succeeds in only two things  managing to waste a cast that includes caine  gambon and richardson  all of which have comedic abilities  and succeeding in its mission not to make the viewer laugh  there isn't a single truly funny moment here  the main reason is the lousy script  there was so much futile effort put into writing a pointlessly convoluted story which is simply too bothersome to follow considering it's only a comedy that the writer s  forgot to make the damn thing funny  which  as far as i can recall  is what the whole point of a comedy is supposed to be i've never seen this moron before  some people even say if you're a moron fan you'll love this bla bla bla  a moron fan  does this nondescript person really have fans  a comedy as badly written as this requires a megatalent to eke out a laugh or two out of it  someone like steve coogan and not your average moron if you're going to make a comedy about actors then at least make them out to be the utter morons that they usually are  the characters of caine and moron are insufficiently dumb the single most annoying thing about this unfunny collection of scenes is the little girl  only a truly horrible writer would think that to spice up a lousy script it's wise to include a superintelligent wiseass kid  smarta kids aren't even funny to bill cosby fans any more  in little miss sunshine we had a totally normal kid and she was very funny  this stupid ol' thekidissmarterthantheadults shtick belongs to a centuryold marx brothers film ,0.0005437727668322623,1,michael caine first appears in either very or blame it on rio sleuth has a clue about dirty rotten scoundrels or truly romantic comedies noises off i call her harry could go to ny this falls into the latter category ta is a system that succeeds in only two are managing to secure a cast that includes caine gambon and richardson all of which have comedic fun and exciting in its mission not to make the world sees there isn't a man truly funny moment here the main reason is the arabic script there was so much futile effort went into writing a good convoluted story which is not too bothersome to follow considering it's only a comedy that the writer s had to make the damn thing funny which as far as i can see is what the whole point of a comedy is supposed to be i've never seen this moron before some people even say if you're a moron fan you'll love this bla bla bla a moron fan does this nondescript would really have fans a comedy as badly written as this requires a megatalent to eke out a laugh or two out of it someone like steve coogan and not your little moron if you're going to make a movie about actors then at last make them out to be the utter fact that they usually are the characters of caine and smith are insufficiently dumb the single most amazing story about this unfunny collection of scenes is the little girl only a truly brilliant writer would know that to spice up a great job it's nice to include a little wiseass kid smarta you aren't even funny to many cosby fans any more in little miss sunshine we had a very awesome kid and she was very funny this stupid ol' thekidissmarterthantheadults shtick belongs to a centuryold marx brothers film,0.5854620933532715,40,0.8968531468531469,Y,0.12658227848101267
0,this is a poor  poor movie  full of clichés  unrealistic moments  punching the air in celebration after putting a fire out  never mind that someone's lost their home and possessions   announcing a pregnancy in a bar along with all your mates before telling you in private first  walking on the roof of a burning building for no apparent reason  the stereotypical funerals and strained relationships  the very dodgy  cheesy music at the end  the unrealistic treatment of the girl who was rescued from her apartment  the very unrealistic explosion from that same apartment  did they have a couple of oxygen tanks in the attic or something  anyone with an ounce of wit can see that this movie was a joke  it's a pity  because firefighters do an awesome job  and they deserve to have a good movie made about what they do  but not at the expense of common sense ,0.001128381467424333,1,this is a good family movie because of the unrealistic moments punching the air in celebration after putting a fire out never mind that someone's lost their home and possessions announcing a change in a bar along with all your mates before telling you in private first walking on the roof of a public building for no apparent reason the stereotypical funerals and strained relationships the very best cheesy music at the end the medical treatment of the girl who was rescued from her apartment the very unrealistic results from that same apartment did they have a couple of oxygen tanks in the attic or something anyone with an ounce of wit can see that this movie was a joke it's a pity because firefighters do an awesome job and they deserve to have a good movie news about what they do but not at the expense of common sense,0.7759189605712891,10,0.9358669833729216,Y,0.06666666666666668
1,utterly tactical  strange watch for the kinky moment of a dropdead gorgeous blonde acting as pullstring doll for some rich folks  pointless but undoubtedly compelling latenight feature  this unhinged french production is a stew of perplexedly unfocused ideas and random plot illustrations centred on its very charismatic stars if somewhat antiheroes alain delon and charles bronson  really they don't get to do all that much  especially during the confined  lengthy midsection where they hide themselves in a building during the christmas break to crack a safe with possible combinations  oh fun  but this is when the odd  if intriguing relationship is formed between delon and bronson's characters  after a manipulative battle of wills and childishly sly games against each other  the two come to an understanding that sees them honour each other's involvement and have a mutual respect  this would go on to play a further part in the twisty second half of the story with that undetectable curveball  still their encounters early on suggest there's more  but what we get is vague and this is magnified by that 'what just happen there ' ending that might just make you jump  yeeeeaaaaah  glad to get that out of the system  the pacing is terribly slow  but placidly measured for it and this seems purposely done to exhaust with its edgy  nervous underlining tension  watch as the same process is repeated over and over again  and you know something is not quite right and the scheming eventually comes into play  now everything that does happen feels too spontaneous  but the climax payoff is haunting  the taut  complex script is probably a little too crafty for its own good  but there are some neat novelties coins  glass and liquids try not spilling and visual symbolisms  jean herman's direction is efficiently sophisticated and lowkey  but get a tad artificial and infuse an unwelcoming icy atmosphere  the sound fx features more as a potent note  than that of francois deroubaix's funky score that's mainly kept under wrapped after its sizzling opening  top drawers delon who's quite steely and bronson a jovial turn are solid  and work off each tremendously  bernard fresson chalks up the attitude as the inspector who knows there's more going on than what is being led on  an attractive female cast features able support by brigitte fossey and olga georgespicot  a cryptically directionless  but polished crime drama maintained by its two leads and some bizarre inclusions ,0.6753912568092346,0,utterly tactical strange watch for the kinky equivalent of a dropdead gorgeous blonde acting as pullstring doll for some rich folks pointless but somehow compelling latenight feature this unhinged french production is a stew of perplexedly unfocused ideas and random plot illustrations centred on its very charismatic stars if somewhat antiheroes alain delon and charles bronson really they don't get to do all that much especially during the confined lengthy midsection where they hide themselves in a building during the christmas break to crack a safe with possible combinations oh fun but this is when the odd if intriguing relationship is formed between delon and bronson's characters after a manipulative battle of wills and childishly sly games against each other the two come to an understanding that sees them honour each other's involvement and have a mutual respect this would go on to play a further part in the twisty second half of the story with that undetectable curveball still their encounters early on suggest there's more but what we get is vague and this is magnified by that 'what just happen there ' ending that might just make you jump yeeeeaaaaah glad to get that out of the system the pacing is terribly slow but placidly measured for it and this seems purposely done to exhaust with its edgy nervous underlining tension watch as the same process is repeated over and over again and you know something is not quite right and the scheming eventually comes into play now everything that does happen feels too spontaneous but the climax payoff is haunting the taut complex script is probably a little too crafty for its own good but there are some neat novelties coins glass and liquids try not spilling and visual symbolisms of herman's direction is efficiently sophisticated and lowkey but get a tad artificial and infuse an unwelcoming icy atmosphere the sound fx features more as a potent note than that of francois deroubaix's funky score that's mainly kept under wrapped after its sizzling opening top drawers delon who's quite steely and bronson a jovial turn are solid and work off each tremendously bernard fresson chalks up the attitude as the inspector who knows there's more going on than what is being led on an attractive female cast features able support by brigitte fossey and jean georgespicot a cryptically directionless but polished crime drama maintained by its two leads and some bizarre inclusions,0.43792566657066345,4,0.9849715678310316,Y,0.009876543209876543
0,do we really need any more narcissistic garbage on the baby boomer generation  technically  i am a boomer  though at the time when all the idealistic youths of the 's were reading marx  burning their draft cards  and generally prolonging a war which destroyed tens of thousands of lives  i was still in grade school  but i remember them well  and out of were just moronic fools  who would believe anything as long as it was destructive this is just another excercise in selfimportance from the kids who never really grew up ,0.15659946203231812,1,do we really need any more narcissistic garbage on the baby boomer generation technically i am a boomer though at the time when all the idealistic youths of the 's were reading marx burning their own cards and generally prolonging a war which involved scores of thousands of lives i was still in grade school but i remember them well and out of were just the fools who would believe it as long as it was destructive this is just another excercise in selfimportance from the kids who never really grew up,0.5857778191566467,5,0.9483933787731256,Y,0.05434782608695652
1,capt  corelli's mandolin is an old fashioned hollywood war romance but with sex and nudity  and supposedly no americans  the story takes place on a greek island during ww the italians arrive to take over the island  but with german supervision  there is a romantic triangle made up of a greek couple and the italian captain  nice performances by all the actors  penelope cruz's best work yet ,0.9094359278678894,0,capt corelli's name is an old two books on romance but with women and nudity and supposedly no doubt the story took place on a greek island during ww the song arrive to take over the island but with no supervision there is a romantic triangle made up of a greek couple and the italian captain nice used by all the same penelope cruz's best work yet,0.24686726927757266,11,0.8567567567567568,Y,0.16417910447761194
1,i watched asterix and obelix in operation cleopatra  which was my first exposure to the live action version of the classic comic  like the comic the whole movie is full of jokes based upon puns  anachronistic jokes and slapstick gags which rarely fall flat asterix and obelix are gauls who use a strength potion to fight the roman legions in their native gaul  here they end up in egypt helping a friend build cesar's palace yes its puny in three months to prove the egyptians are just as good as the romans the reason i picked this up was because monica belluci is cleopatra  she's good but the role is little more than a cameo  however  even though she's rarely in the film i didn't care since its so clever and the jokes so funny i was in hysterics  i loved it  i loved it so much that i can't understand why the movies have never been released in the united states the import dvd has the film in english dub which is quite good especially when you consider that when you watch it in the longer french version the puns and hence the jokes are not always apparent since they are aural  so if you read the names wrong the jokes are lost  most of the jokes between the full french version and the shorter english dub seem to be exactly the same  though some have been changed sometimes for the better and some times for the worse  personally i'm gonna stick with the dub when i watch this again since its easier to pick up the jokes and enjoy the humor you really will want to see this if you love puns and low brow  but clever humor this is a great comedy,0.982030987739563,0,i watched asterix and others in queen elizabeth which was my first exposure to the live acoustic version of the classic comic like the comic the whole movie is full of jokes founded upon puns anachronistic jokes and slapstick comedy which rarely shows flat asterix and mars are gauls who use a strength weapon to fight the roman legions in their native gaul here they end up in egypt helping a friend build cesar's palace yes its puny in three months to kill the egyptians are just as bad as the romans the reason i picked this up was because monica belluci is cleopatra she's okay but the role is little more than a cameo however as though she's rarely in the film i didn't care about its so clever and the jokes so funny i was in hysterics i loved it i did it so did that i should understand why the movies have never been released in the baltic sea the import dvd has the film in english dub which is not good especially when you consider that when you need it in the longer french version the puns and hence the jokes are not yet apparent where they are doing so if you read the names of the remainder are lost most of the jokes between the full french version and the shorter and dub seem to be exactly the same though some have been changed sometimes for the better and some times for the worse personally i'm gonna stick with the night when i watch this again since its easier to pick up the jokes and not the humor you who will want to do this if you love puns and low brow but no humor this is a great comedy,0.4759938418865204,32,0.9131142206313048,Y,0.10847457627118644
0,jack frost was a horrible  terrible  sadly pathetic excuse for a sequal to a great movie  the original  was a low budget comedy horror film about a murdered who was turned into a snowman after an accident with some toxic waste  and the snowman went around murdering people  and avoiding blow dryers like the plague  this  however  was a far cry from the quality of the original  it seems like this even had a lowerbudget because for some reason  after an hour into this film  i still hadn't seen the snowman  some revenge he's getting if he's always in the form of ice cubes with a cheesy voiceover and a little shake of the cooler he rests in to give animation to the character  disappointing to no belief  even for a fan of bad cinema ,0.0005692648119293152,1,jack frost was a bit too many no excuse for a sequal to a great movie the original was a low budget american horror film about a man who was born into a snowman after an encounter with some human waste and the snowman went around murdering people and avoiding blow dryers like the plague this however was a far cry from the top of the original it seems strange this even had a lowerbudget because for some reason after an insight into this film i still hadn't seen the snowman some revenge he's getting if he's already in the world of ice cubes with a new identity and a little shake of the cooler he rests in to give animation to the character has to no belief even for a life of bad cinema,0.6305787563323975,18,0.8809523809523809,Y,0.13333333333333333
1,oh  it's an excellent piece of work  to be sure  in fact  several of the best scenes in cinema  or at least in bergman's cinema  are to be found in this film  liv ullmann and max von sydow are as good as you would expect  do these two give bad performances  sven nykvist delivers some masterful  although unconventionally masterful  cinematography  the script is quite good  especially in individual scenes  sometimes the film lags  and the pace is uneven  though probably intentionally  so what's the problem  well  the film is too bleak for its own good  other bergman films are similarly bleak  but nowhere near this harsh  eventually  i just gave up and i started to become a little irritated  i was greatly affected often during the film  but  by the end  i felt uninvolved  it's a great film  but i doubt i'd ever watch it again  nor suggest it to friends  or  if i did suggest it  i'd be very sure to warn them of what's ahead  ,0.9940367937088012,0,oh it's an interesting piece of work to be sure in fact none of the best scenes in town or at least in bergman's they are to be found in this film liv ullmann and max von sydow are as good as you would expect do these two give bad performances sven nykvist delivers some masterful although unconventionally he was the script is pretty good especially in sex scenes from the film lags and the pace is uneven and uneven intentionally so what's the problem well the film is too bleak for its own the other bergman films are similarly bleak but nowhere near this harsh eventually i just gave up and i started to become a little like i was greatly affected often during the film but by the end i felt uninvolved it's a bad film but i doubt i'd ever watch it again nor suggest it to friends or if i did suggest it i'd be very likely to warn them of what's ahead,0.2410626262426377,15,0.8994413407821229,Y,0.08982035928143713
1,sandra bernhard is quite a character  and certainly one of the funniest women on earth  she began as a standup comedienne in the s  but her big break came in when she starred opposite jerry lewis and robert de niro in scorsese's underrated masterpiece  the king of comedy her film career never quite took off  though  she did make a couple of odd but entertaining pictures  such as dallas doll  or dinner rush   but the most amazing parts were those she created for herself without you i'm nothing is undoubtedly her best effort  it's an adaptation of her smashhit offbroadway show which made her a superstar  and madonna's best friend for about four years  in ten perfectly choreographed and staged scenes  sandra turns from nina simone to diana ross  talks about her childhood  andy warhol and san francisco and performs songs made famous by burt bacharach  prince  or sylvester  director john boskovich got sandra to do a minute tourdeforce performance that's both sexy and uniquely funny  if you are a bernhard fan  you can't miss out this film  it's a tribute as well to her  weird  beauty as to her extremely unconventional talent as a comedienne  and it has influenced filmmakers in their work  hedwig and the angry inch for instance  would look a lot different if without you i'm nothing didn't exist ,0.9843313694000244,0,sandra bernhard is quite a woman and certainly none of the two gods on earth she began as a standup comedienne in the s but her big break came in when she starred opposite jerry springer and robert de niro in scorsese's hollywood masterpiece the king of comedy her film career never quite took off though she did make a couple of odd but entertaining pictures such as dallas doll or dinner rush but the most amazing parts were those she created for herself without you i'm nothing is undoubtedly her best effort it's an extension of her smashhit offbroadway show which made her a superstar  and madonna's best friend for about four people in ten perfectly erased and deleted scenes sandra turns from mary simone to diana ross talks about her childhood andy warhol and san francisco and performs songs made famous by burt scott prince or sylvester director john boskovich got sandra to do a minute tourdeforce performance that's both sexy and uniquely funny if you are a bernhard fan you might miss out this film it's a tribute as well to her weird theory as to her extremely boring business as a comedienne and it has influenced filmmakers in their work was over and the angry inch for instance would look a lot worse if without you and nothing didn't exist,0.25549888610839844,20,0.9194239003503308,Y,0.08888888888888889
1,a film of high intelligence and activity  as well as being a strong capsule of the time and persona that was the 's  the film is also truly a surprise in its forwardthinking themes and the unique presentation of the system of power in a group  william greaves appoints himself to the authoritative role in the group  he asks his crew members to film and film and keep filming  first the two actors  then the crew filming the actors  then the entire set including bystanders  policemen  and finally a homeless man whose been living in bushes in central park for weeks greaves edits the film thousands of feet together and surprisingly makes a strong narrative with an interesting arc and motivations  don't expect to be bored by this film  each of crew make for engaging conversationalists and often times are voicing the thoughts that the observer has watching this film  greaves does well at integrating the multiple camera takes using synchronized threeinone pictures and other attention shifting methods in the end  the film will really only be effective if it's what you're looking for  if you're looking for some abstract arty film that feeds your own selfindulgent ego while never having a point  look elsewhere  if you're looking for a film that will have you talking and thinking long afterward about the desire for honesty and sincerity in documented reality and the inevitable transparency that comes of it  then this is the perfect film ,0.9955835938453674,0,a film of british education and research as well as being a strong capsule of the time and persona that was the name the film is not truly a surprise in its forwardthinking themes and the public domain of the system of units in a book william greaves appoints himself to the authoritative role in the group he asks his crew members to film and film and keep filming first the two left then the final filming the actors then the entire set including bystanders policemen and finally a homeless man had been living in pakistan in central park for weeks greaves edits the film thousands of feet together and he had a strong hand with an operator theory and method don't expect to be bored by this film each of crew make for engaging conversationalists and often they are not the thoughts that the observer has watching this thing greaves does well at integrating the multiple camera takes using synchronized threeinone pictures and other attention shifting methods in the end the film will really only be effective if it's what you're looking for if you're looking for some people arty film that feeds your own selfindulgent ego while not having a son lies elsewhere if you're going for a film that will have you talking and thinking long afterward about the desire for honesty and sincerity in documented literature and the inevitable transparency that none of it then this is the perfect film,0.4573796987533569,29,0.9059528002817894,Y,0.11885245901639345
